Id,Common name,Scientific name
652,Nanday Parakeet,Aratinga nenday
653,Neotropic Cormorant,Nannopterum brasilianum
654,Ocellated Turkey,Meleagris ocellata
655,Oilbird,Steatornis caripensis
656,Orange-Breasted Bunting,Passerina leclancherii
657,Orinoco Goose,Neochen jubata
658,Paradise Tanager,Tangara chilensis
659,Peruvian Sierra-Finch,Phrygilus punensis
660,Plain Chachalaca,Ortalis vetula
661,Red-Billed Scythebill,Campylorhamphus trochilirostris
662,Red-Breasted Meadowlark,Leistes militaris
663,Red-Crested Cardinal,Paroaria coronata
664,Red-Headed Barbet,Eubucco bourcierii
665,Red-Legged Seriema,Cariama cristata
666,Resplendent Quetzal,Pharomachrus mocinno
667,Roadside Hawk,Rupornis magnirostris
668,Ruddy Ground Dove,Columbina talpacoti
669,Rufescent Tiger-Heron,Tigrisoma lineatum
670,Rufous Hornero,Furnarius rufus
671,Rufous-Collared Sparrow,Zonotrichia capensis
672,Rufous-Naped Wren,Campylorhynchus rufinucha
673,Savanna Hawk,Buteogallus meridionalis
674,Scarlet Ibis,Eudocimus ruber
675,Scarlet Macaw,Ara macao
676,Screaming Piha,Lipaugus vociferans
677,Shiny Cowbird,Molothrus bonariensis
678,Smooth-Billed Ani,Crotophaga ani
679,Snowy Albatross,Diomedea exulans
680,Southern Lapwing,Vanellus chilensis
681,Southern Rough-Winged Swallow,Stelgidopteryx ruficollis
682,Southern Screamer,Chauna torquata
683,Spectacled Owl,Pulsatrix perspicillata
684,Spotted Nothura,Nothura maculosa
685,Spotted Puffbird,Bucco tamatia
686,Squirrel Cuckoo,Piaya cayana
687,Strange-Tailed Tyrant,Alectrurus risora
688,Sun Parakeet,Aratinga solstitialis
689,Sunbittern,Eurypyga helias
690,Sungrebe,Heliornis fulica
691,Titicaca Grebe,Rollandia microptera
692,Toco Toucan,Ramphastos toco
693,Tropical Kingbird,Tyrannus melancholicus
694,Tropical Parula,Setophaga pitiayumi
695,Tropical Royal Flycatcher,Onychorhynchus coronatus
696,Turquoise-Browed Motmot,Eumomota superciliosa
697,Ultramarine Grosbeak,Cyanoloxia brissonii
698,Vampire Ground-Finch,Geospiza septentrionalis
699,Variable Seedeater,Sporophila corvina
700,Verdin,Auriparus flaviceps
701,Vermilion Flycatcher,Pyrocephalus rubinus
702,Wattled Jacana,Jacana jacana
703,Western Rockhopper Penguin,Eudyptes chrysocome
704,White-Browed Tit-Spinetail,Leptasthenura xenothorax
705,White-Throated Magpie-Jay,Cyanocorax formosus
706,White-Tipped Dove,Leptotila verreauxi
707,Yellow Warbler,Setophaga petechia
708,Yellow-Headed Caracara,Daptrius chimachima
